ABBREVIATION,TITLE
BAYER CROPSCI J.,BAYER CROPSCIENCE JOURNAL
BAYESIAN ANAL.,BAYESIAN ANALYSIS
BBA CLIN.,BBA CLINICAL
BEE WORLD,BEE WORLD
BEHAV. BRAIN RES.,BEHAVIOURAL BRAIN RESEARCH
BEHAV. BRAIN SCI.,BEHAVIORAL AND BRAIN SCIENCES
BEHAV. COGNIT. NEUROSCI. REV.,BEHAVIORAL AND COGNITIVE NEUROSCIENCE REVIEWS
BEHAV. ECOL.,BEHAVIORAL ECOLOGY
BEHAV. ECOL. SOCIOBIOL.,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY
BEHAV. NEUROL.,BEHAVIOURAL NEUROLOGY
BEHAV. PHARMACOL.,BEHAVIOURAL PHARMACOLOGY
BEHAV. PROCESSES,BEHAVIOURAL PROCESSES
BEHAV. RES. METHODS,BEHAVIOR RESEARCH METHODS
BEHAV. SLEEP MED.,BEHAVIORAL SLEEP MEDICINE
BEILSTEIN J. NANOTECHNOL.,BEILSTEIN JOURNAL OF NANOTECHNOLOGY
BEILSTEIN J. ORG. CHEM.,BEILSTEIN JOURNAL OF ORGANIC CHEMISTRY
BEITR. CHEM. PHYSIOL. PATHOL.,BEITRAEGE ZUR CHEMISCHEN PHYSIOLOGIE UND PATHOLOGIE
BEITR. ENTOMOL.,BEITRAEGE ZUR ENTOMOLOGIE
BEITR. GERICHTL. MED.,BEITRAEGE ZUR GERICHTLICHEN MEDIZIN
BEITR. KRYST. MINERAL.,BEITRAGE ZUR KRYSTALLOGRAPHIE UND MINERALOGIE
BELG. J. ZOOL.,BELGIAN JOURNAL OF ZOOLOGY
BELL LAB. REC.,BELL LABORATORIES RECORD
BELL LABS TECH. J.,BELL LABS TECHNICAL JOURNAL
BER.,CHEMISCHE BERICHTE
BER. BUNSEN GES.,BERICHTE DER BUNSEN-GESELLSCHAFT
BER. BUNSEN GES. PHYS. CHEM.,BERICHTE DER BUNSEN-GESELLSCHAFT FUR PHYSIKALISCHE CHEMIE
BER. DTSCH. BOT. GES.,BERICHTE DER DEUTSCHEN BOTANISCHEN GESELLSCHAFT
BER. DTSCH. CHEM. GES.,BERICHTE DER DEUTSCHEN CHEMISCHEN GESELLSCHAFT
BER. DTSCH. GES. GEOL. WISS. REIHE A,BERICHTE DER DEUTSCHEN GESELLSCHAFT FUR GEOLOGISCHE WISSENSCHAFT REIHE A: GEOLOGIE UND PALAEONTOLOGIE
BER. DTSCH. GES. GEOL. WISS. REIHE B,BERICHTE DER DEUTSCHEN GESELLSCHAFT FUR GEOLOGISCHE WISSENSCHAFT REIHE B: MINERALOGIE UND LAGERSTATTENFORSCHUNG
BER. DTSCH. KERAM. GES.,BERICHTE DER DEUTSCHEN KERAMISCHEN GESELLSCHAFT
BER. DTSCH. MINERAL. GES.,BERICHTE DER DEUTSCHEN MINERALOGISCHEN GESELLSCHAFT
BER. DTSCH. PHARM. GES.,BERICHTE DER DEUTSCHEN PHARMAZEUTISCHEN GESELLSCHAFT
BER. DTSCH. PHYS. GES.,BERICHTE DER DEUTSCHEN PHYSIKALISCHEN GESELLSCHAFT
BER. DTSCH. WETTERDIENSTES,BERICHTE DER DEUTSCHEN WETTERDIENSTES
BER. GESAMTE PHYSIOL. EXP. PHARMAKOL.,BERICHTE UBER DIE GESAMTE PHYSIOLOGIE UND EXPERIMENTALLE PHARMAKOLOGIE
BER. WISSENSCHAFTSGESCH.,BERICHTE ZUR WISSENSCHAFTSGESCHICHTE
BERG- HUETTENMAENN. MONATSH.,BERG- UND HUETTENMAENNISCHE MONATSHEFTE
BERL. BEITR. ARCHAEOM.,BERLINER BEITRAEGE ZUR ARCHAEOMETRIE
"BERL. GEOWISS. ABH., REIHE A","BERLINER GEOWISSENSCHAFTLICHE ABHANDLUNGEN, REIHE A: GEOLOGIE UND PALAEONTOLOGIE"
BERLINER ENTOMOL. Z.,BERLINER ENTOMOLOGISCHE ZEITSCHRIFT
BEST PRACT. RES. CLIN. HAEMATOL.,"BEST PRACTICE & RESEARCH, CLINICAL HAEMATOLOGY"
BETON- STAHLBETONBAU,BETON- UND STAHLBETONBAU
BETONWERK FERTIGTEIL TECH.,BETONWERK UND FERTIGTEIL TECHNIK
BHM BERG- HUTTENMANN. MONATSH.,BHM BERG- UND HUTTENMANNISCHE MONATSHEFTE
BIEDERMANNS ZENTRALBL.,BIEDERMANNS ZENTRALBLATT
BIEDERMANNS ZENTRALBL. ABT. A,BIEDERMANNS ZENTRALBLATT ABTEILUNG A: ALLGEMEINER UND REFERIERENDER TEIL
BIEDERMANNS ZENTRALBL. ABT. B,BIEDERMANNS ZENTRALBLATT ABTEILUNG B: TIERERNAHRUNG
BIG DATA,BIG DATA
BIG DATA MIN. ANAL.,BIG DATA MINING AND ANALYTICS
BIG DATA RES.,BIG DATA RESEARCH
BIG DATA SOC.,BIG DATA & SOCIETY
BIG EARTH DATA,BIG EARTH DATA
BIO-DES. MANUF.,BIO-DESIGN AND MANUFACTURING
BIO-MED. MATER. ENG.,BIO-MEDICAL MATERIALS AND ENGINEERING
BIOACT. CARBOHYDR. DIETARY FIBRE,BIOACTIVE CARBOHYDRATES AND DIETARY FIBRE
BIOACT. MATER.,BIOACTIVE MATERIALS
BIOANAL. REV.,BIOANALYTICAL REVIEWS
BIOCATAL. AGRIC. BIOTECHNOL.,BIOCATALYSIS AND AGRICULTURAL BIOTECHNOLOGY
BIOCATAL. BIOTRANSFORM.,BIOCATALYSIS AND BIOTRANSFORMATION
BIOCHEM. ARCH.,BIOCHEMICAL ARCHIVES
BIOCHEM. BIOPHYS. REP.,BIOCHEMISTRY AND BIOPHYSICS REPORTS
BIOCHEM. BIOPHYS. RES. COMMUN.,BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS
BIOCHEM. CELL BIOL.,BIOCHEMISTRY AND CELL BIOLOGY-BIOCHIMIE ET BIOLOGIE CELLULAIRE
BIOCHEM. EDUC.,BIOCHEMICAL EDUCATION
BIOCHEM. ENG. J.,BIOCHEMICAL ENGINEERING JOURNAL
BIOCHEM. GENET.,BIOCHEMICAL GENETICS
BIOCHEM. INSIGHTS,BIOCHEMISTRY INSIGHTS
BIOCHEM. J,BIOCHEMICAL JOURNAL
BIOCHEM. MED. METAB. BIOL.,BIOCHEMICAL MEDICINE AND METABOLIC BIOLOGY
BIOCHEM. MOL. BIOL. EDUC.,BIOCHEMISTRY AND MOLECULAR BIOLOGY EDUCATION
BIOCHEM. MOL. BIOL. INT.,BIOCHEMISTRY AND MOLECULAR BIOLOGY INTERNATIONAL
BIOCHEM. MOL. MED.,BIOCHEMICAL AND MOLECULAR MEDICINE
BIOCHEM. PHARMACOL.,BIOCHEMICAL PHARMACOLOGY
BIOCHEM. PHYSIOL. PFLANZ.,BIOCHEMIE UND PHYSIOLOGIE DER PFLANZEN
BIOCHEM. PREP.,BIOCHEMICAL PREPARATIONS
BIOCHEM. RES. INT.,BIOCHEMISTRY RESEARCH INTERNATIONAL
BIOCHEM. SOC. SYMP.,BIOCHEMICAL SOCIETY SYMPOSIUM
BIOCHEM. SOC. TRANS.,BIOCHEMICAL SOCIETY TRANSACTIONS
BIOCHEM. SYST. ECOL.,BIOCHEMICAL SYSTEMATICS AND ECOLOGY
BIOCHIM. BIOPHYS. ACTA,BIOCHIMICA ET BIOPHYSICA ACTA
"BIOCHIM. BIOPHYS. ACTA, BIOENERG.","BIOCHIMICA ET BIOPHYSICA ACTA, BIOENERGETICS"
"BIOCHIM. BIOPHYS. ACTA, BIOMEMBR.","BIOCHIMICA ET BIOPHYSICA ACTA, BIOMEMBRANES"
"BIOCHIM. BIOPHYS. ACTA, BIOPHYS. INCL. PHOTSYNTH.",BIOCHIMICA ET BIOPHYSICA ACTA (BBA) - BIOPHYSICS INCLUDING PHOTOSYNTHESIS
"BIOCHIM. BIOPHYS. ACTA, ENZYMOL.","BIOCHIMICA ET BIOPHYSICA ACTA, ENZYMOLOGY"
"BIOCHIM. BIOPHYS. ACTA, ENZYMOL. BIOL. OXID.","BIOCHIMICA ET BIOPHYSICA ACTA, ENZYMOLOGY AND BIOLOGICAL OXIDATION"
"BIOCHIM. BIOPHYS. ACTA, GEN. SUBJ.","BIOCHIMICA ET BIOPHYSICA ACTA, GENERAL SUBJECTS"
"BIOCHIM. BIOPHYS. ACTA, GENE REGUL. MECH.","BIOCHIMICA ET BIOPHYSICA ACTA, GENE REGULATORY MECHANISMS"
"BIOCHIM. BIOPHYS. ACTA, GENE STRUCT. EXPRESSION","BIOCHIMICA ET BIOPHYSICA ACTA, GENE STRUCTURE AND EXPRESSION"
"BIOCHIM. BIOPHYS. ACTA, LIPIDS LIPID METAB.","BIOCHIMICA ET BIOPHYSICA ACTA, LIPIDS AND LIPID METABOLISM"
"BIOCHIM. BIOPHYS. ACTA, MOL. BASIS DIS.","BIOCHIMICA ET BIOPHYSICA ACTA, MOLECULAR BASIS OF DISEASE"
"BIOCHIM. BIOPHYS. ACTA, MOL. CELL. BIOL. LIPIDS","BIOCHIMICA ET BIOPHYSICA ACTA, MOLECULAR AND CELL BIOLOGY OF LIPIDS"
"BIOCHIM. BIOPHYS. ACTA, MOL. CELL. RES.","BIOCHIMICA ET BIOPHYSICA ACTA, MOLECULAR CELL RESEARCH"
"BIOCHIM. BIOPHYS. ACTA, MUCROPROTEINS MUCOPOLYSACCHARIDES","BIOCHIMICA ET BIOPHYSICA ACTA, MUCOPROTEINS AND MUCOPOLYSACCHARIDES"
"BIOCHIM. BIOPHYS. ACTA, NUCLEIC ACIDS PROTEIN SYNTH.","BIOCHIMICA ET BIOPHYSICA ACTA, NUCLEIC ACIDS AND PROTEIN SYNTHESIS"
"BIOCHIM. BIOPHYS. ACTA, PROTEIN STRUCT.","BIOCHIMICA ET BIOPHYSICA ACTA, PROTEIN STRUCTURE"
"BIOCHIM. BIOPHYS. ACTA, PROTEIN STRUCT. MOL. ENZYMOL.","BIOCHIMICA ET BIOPHYSICA ACTA, PROTEIN STRUCTURE AND MOLECULAR ENZYMOLOGY"
"BIOCHIM. BIOPHYS. ACTA, PROTEINS PROTEOMICS","BIOCHIMICA ET BIOPHYSICA ACTA, PROTEINS AND PROTEOMICS"
"BIOCHIM. BIOPHYS. ACTA, REV. BIOENERG.","BIOCHIMICA ET BIOPHYSICA ACTA, REVIEWS ON BIOENERGETICS"
"BIOCHIM. BIOPHYS. ACTA, REV. BIOMEMBR.","BIOCHIMICA ET BIOPHYSICA ACTA, REVIEWS ON BIOMEMBRANES"
"BIOCHIM. BIOPHYS. ACTA, REV. CANCER","BIOCHIMICA ET BIOPHYSICA ACTA, REVIEWS ON CANCER"
"BIOCHIM. BIOPHYS. ACTA, SPEC. SECT. BIOPHYS. SUBJ.",BIOCHIMICA ET BIOPHYSICA ACTA (BBA) - SPECIALIZED SECTION ON BIOPHYSICAL SUBJECTS
"BIOCHIM. BIOPHYS. ACTA, SPEC. SECT. ENZYMOL. SUBJ.",BIOCHIMICA ET BIOPHYSICA ACTA (BBA) - SPECIALIZED SECTION ON ENZYMOLOGICAL SUBJECTS
"BIOCHIM. BIOPHYS. ACTA, SPEC. SECT. LIPIDS RELAT. SUBJ.",BIOCHIMICA ET BIOPHYSICA ACTA (BBA) - SPECIALIZED SECTION ON LIPIDS AND RELATED SUBJECTS
"BIOCHIM. BIOPHYS. ACTA, SPEC. SECT. MUCOPROTEINS MUCOPOLYSACCHARIDES",BIOCHIMICA ET BIOPHYSICA ACTA (BBA) - SPECIALIZED SECTION ON MUCOPROTEINS AND MUCOPOLYSACCHARIDES
"BIOCHIM. BIOPHYS. ACTA, SPEC. SECT. NUCLEIC ACIDS RELAT. SUBJ.",BIOCHIMICA ET BIOPHYSICA ACTA (BBA) - SPECIALIZED SECTION ON NUCLEIC ACIDS AND RELATED SUBJECTS
BIOCHIM. OPEN,BIOCHIMIE OPEN
BIOCHIP J.,BIOCHIP JOURNAL
BIOCONJUGATE CHEM.,BIOCONJUGATE CHEMISTRY
BIOCONTROL SCI.,BIOCONTROL SCIENCE
BIOCONTROL SCI. TECHNOL.,BIOCONTROL SCIENCE AND TECHNOLOGY
BIOCYBERN. BIOMED. ENG.,BIOCYBERNETICS AND BIOMEDICAL ENGINEERING
BIODATA MIN.,BIODATA MINING
BIODEMOGR. SOCIAL BIOL.,BIODEMOGRAPHY AND SOCIAL BIOLOGY
BIODES. RES.,BIODESIGN RESEARCH
BIODIVERS. CONSERV.,BIODIVERSITY AND CONSERVATION
BIODIVERS. DATA J.,BIODIVERSITY DATA JOURNAL
BIODIVERS. INF. SCI. STAND.,BIODIVERSITY INFORMATION SCIENCE AND STANDARDS
BIOELECTROCHEM. BIOENERG.,BIOELECTROCHEMISTRY AND BIOENERGETICS
BIOELECTRON. MED.,BIOELECTRONICS IN MEDICINE
BIOENERGY RES.,BIOENERGY RESEARCH
BIOENG. TODAY,BIOENGINEERING TODAY
BIOENG. TRANSL. MED.,BIOENGINEERING & TRANSLATIONAL MEDICINE
BIOFUEL RES. J.,BIOFUEL RESEARCH JOURNAL
"BIOFUELS, BIOPROD. BIOREFIN.","BIOFUELS, BIOPRODUCTS AND BIOREFINING"
BIOG. AMINES,BIOGENIC AMINES
BIOGEOSCI. DISCUSS.,BIOGEOSCIENCES DISCUSSIONS
BIOINF. ADV,BIOINFORMATICS ADVANCES
BIOINF. BIOL. INSIGHTS,BIOINFORMATICS AND BIOLOGY INSIGHTS
BIOINORG. CHEM.,BIOINORGANIC CHEMISTRY
BIOINORG. CHEM. APPL.,BIOINORGANIC CHEMISTRY AND APPLICATIONS
BIOINSPIRATION BIOMIMETICS,BIOINSPIRATION & BIOMIMETICS
BIOINSPIRED BIOMIMETIC NANOBIOMATER.,"BIOINSPIRED, BIOMIMETIC AND NANOBIOMATERIALS"
BIOINVASIONS REC.,BIOINVASIONS RECORDS
BIOL. AGRIC. HORTIC.,BIOLOGICAL AGRICULTURE & HORTICULTURE
BIOL. BLOOD MARROW TRANSPLANT.,BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION
BIOL. CHEM.,BIOLOGICAL CHEMISTRY
BIOL. CHEM. HOPPE-SEYLER,BIOLOGICAL CHEMISTRY HOPPE-SEYLER
BIOL. CONSERV.,BIOLOGICAL CONSERVATION
BIOL. CONTROL,BIOLOGICAL CONTROL
BIOL. CYBERN.,BIOLOGICAL CYBERNETICS
BIOL. DIRECT,BIOLOGY DIRECT
BIOL. ENG.,BIOLOGICAL ENGINEERING
BIOL. ENVIRON.: PROC. R. IR. ACAD.,BIOLOGY AND ENVIRONMENT: PROCEEDINGS OF THE ROYAL IRISH ACADEMY
BIOL. FERTIL. SOILS,BIOLOGY AND FERTILITY OF SOILS
BIOL. IMAGING,BIOLOGICAL IMAGING
BIOL. INSPIRED COGNIT. ARCHIT.,BIOLOGICALLY INSPIRED COGNITIVE ARCHITECTURES
BIOL. INVASIONS,BIOLOGICAL INVASIONS
BIOL. J. LINN. SOC.,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY
BIOL. LETT.,BIOLOGY LETTERS
BIOL. MASS. SPECTROM.,BIOLOGICAL MASS SPECTROMETRY
BIOL. MED. PHYS. BIOMED. ENG.,"BIOLOGICAL AND MEDICAL PHYSICS, BIOMEDICAL ENGINEERING"
BIOL. MEMBR.,BIOLOGICAL MEMBRANES
BIOL. METHODS PROTOC.,BIOLOGY METHODS & PROTOCOLS
BIOL. OCEANOGR.,BIOLOGICAL OCEANOGRAPHY
BIOL. OPEN,BIOLOGY OPEN
BIOL. PHARM. BULL.,BIOLOGICAL AND PHARMACEUTICAL BULLETIN
BIOL. PHILOS.,BIOLOGY AND PHILOSOPHY
BIOL. PLANT.,BIOLOGIA PLANTARUM
BIOL. PSYCHIATRY,BIOLOGICAL PSYCHIATRY
BIOL. PSYCHIATRY: COGNIT. NEUROSCI. NEUROIMAGING,BIOLOGICAL PSYCHIATRY: COGNITIVE NEUROSCIENCE AND NEUROIMAGING
BIOL. REPROD.,BIOLOGY OF REPRODUCTION
BIOL. RES.,BIOLOGICAL RESEARCH
BIOL. RES. NURS.,BIOLOGICAL RESEARCH FOR NURSING
BIOL. REV.,BIOLOGICAL REVIEWS
BIOL. RHYTHM RES.,BIOLOGICAL RHYTHM RESEARCH
BIOL. SYST. OPEN ACCESS,BIOLOGICAL SYSTEMS: OPEN ACCESS
BIOL. TRACE ELEM. RES.,BIOLOGICAL TRACE ELEMENT RESEARCH
BIOL. UNSERER ZEIT,BIOLOGIE IN UNSERER ZEIT
BIOL. WASTES,BIOLOGICAL WASTES
BIOM. J.,BIOMETRICAL JOURNAL
BIOM. TECHNOL. TODAY,BIOMETRIC TECHNOLOGY TODAY
BIOM. Z.,BIOMETRISCHE ZEITSCHRIFT
BIOMARKER INSIGHTS,BIOMARKER INSIGHTS
BIOMARKER RES.,BIOMARKER RESEARCH
BIOMARKERS GENOMIC MED.,BIOMARKERS AND GENOMIC MEDICINE
BIOMARKERS MED.,BIOMARKERS IN MEDICINE
BIOMASS BIOENERGY,BIOMASS AND BIOENERGY
BIOMASS CONVERS. BIOREFIN.,BIOMASS CONVERSION AND BIOREFINERY
BIOMATER. ARTIF. CELLS ARTIF. ORGANS,BIOMATERIALS ARTIFICIAL CELLS AND ARTIFICIAL ORGANS
BIOMATER. BIOSYST.,BIOMATERIALS AND BIOSYSTEMS
BIOMATER. INVEST. DENT.,BIOMATERIAL INVESTIGATIONS IN DENTISTRY
BIOMATER. MED. DEVICES ARTIF. ORGANS,BIOMATERIALS MEDICAL DEVICES AND ARTIFICIAL ORGANS
BIOMATER. RES.,BIOMATERIALS RESEARCH
BIOMATER. SCI.,BIOMATERIALS SCIENCE
BIOMECH. MODEL. MECHANOBIOL.,BIOMECHANICS AND MODELING IN MECHANOBIOLOGY
BIOMED RES. INT.,BIOMED RESEARCH INTERNATIONAL
BIOMED. BIOCHIM. ACTA,BIOMEDICA BIOCHIMICA ACTA
BIOMED. CHROMATOGR.,BIOMEDICAL CHROMATOGRAPHY
BIOMED. ENG.,BIOMEDICAL ENGINEERING
BIOMED. ENG. ADV.,BIOMEDICAL ENGINEERING ADVANCES
BIOMED. ENG. COMPUT. BIOL.,BIOMEDICAL ENGINEERING AND COMPUTATIONAL BIOLOGY
BIOMED. ENG. EDUC.,BIOMEDICAL ENGINEERING EDUCATION
BIOMED. ENG. LETT.,BIOMEDICAL ENGINEERING LETTERS
BIOMED. ENG. ONLINE,BIOMEDICAL ENGINEERING ONLINE
BIOMED. ENVIRON. SCI.,BIOMEDICAL AND ENVIRONMENTAL SCIENCES
BIOMED. HUB,BIOMEDICINE HUB
BIOMED. IMAGING INTERVENTION J.,BIOMEDICAL IMAGING AND INTERVENTION JOURNAL
BIOMED. INF. INSIGHTS,BIOMEDICAL INFORMATICS INSIGHTS
BIOMED. MATER.,BIOMEDICAL MATERIALS
BIOMED. MICRODEVICES,BIOMEDICAL MICRODEVICES
BIOMED. OPT. EXPRESS,BIOMEDICAL OPTICS EXPRESS
BIOMED. PHARMACOTHER.,BIOMEDICINE & PHARMACOTHERAPY
BIOMED. PHYS. ENG. EXPRESS,BIOMEDICAL PHYSICS & ENGINEERING EXPRESS
BIOMED. RES. TRACE ELE.,BIOMEDICAL RESEARCH ON TRACE ELEMENTS
BIOMED. SCI. INSTRUM.,BIOMEDICAL SCIENCES INSTRUMENTATION
BIOMED. SIGNAL PROCESS. CONTROL,BIOMEDICAL SIGNAL PROCESSING AND CONTROL
BIOMED. SPECTROSC. IMAGING,BIOMEDICAL SPECTROSCOPY AND IMAGING
BIOMED. TECH.,BIOMEDIZINISCHE TECHNIK
BIOMOL. CONCEPTS,BIOMOLECULAR CONCEPTS
BIOMOL. DETECT. QUANTIF.,BIOMOLECULAR DETECTION AND QUANTIFICATION
BIOMOL. ENG,BIOMOLECULAR ENGINEERING
BIOORG. CHEM.,BIOORGANIC CHEMISTRY
BIOORG. CHEM. APPL.,BIOORGANIC CHEMISTRY AND APPLICATIONS
BIOORG. KHIM,BIOORGANICHESKAYA KHIMIYA (RUSSIAN JOURNAL OF BIOORGANIC CHEMISTRY)
BIOORG. MED. CHEM.,BIOORGANIC AND MEDICINAL CHEMISTRY
BIOORG. MED. CHEM. LETT.,BIOORGANIC AND MEDICINAL CHEMISTRY LETTERS
BIOPHARM. DRUG DISPOS.,BIOPHARMACEUTICS AND DRUG DISPOSITION
BIOPHYS. CHEM.,BIOPHYSICAL CHEMISTRY
BIOPHYS. J.,BIOPHYSICAL JOURNAL
BIOPHYS. REP.,BIOPHYSICAL REPORTS
BIOPHYS. REV.,BIOPHYSICS REVIEWS
BIOPHYS. REV.,BIOPHYSICAL REVIEWS
BIOPHYS. REV. LETT.,BIOPHYSICAL REVIEWS AND LETTERS
BIOPRESERV. BIOBANKING,BIOPRESERVATION AND BIOBANKING
BIOPROCESS INT.,BIOPROCESS INTERNATIONAL
BIOPROCESS. BIOSYST. ENG.,BIOPROCESS AND BIOSYSTEMS ENGINEERING
BIOPROCESS. ENG.,BIOPROCESS ENGINEERING
BIOPROCESS. J.,BIOPROCESSING JOURNAL
BIOREM. J.,BIOREMEDIATION JOURNAL
BIORES. OPEN ACCESS,BIORESEARCH OPEN ACCESS
BIORESOUR. BIOPROCESS.,BIORESOURCES AND BIOPROCESSING
BIORESOUR. TECHNOL.,BIORESOURCE TECHNOLOGY
BIORESOUR. TECHNOL. REP.,BIORESOURCE TECHNOLOGY REPORTS
BIOSAF. HEALTH,BIOSAFETY AND HEALTH
BIOSCI. BIOTECHNOL. RES. ASIA,"BIOSCIENCES, BIOTECHNOLOGY RESEARCH ASIA"
"BIOSCI. BIOTECHNOL., BIOCHEM.",BIOSCIENCE BIOTECHNOLOGY AND BIOCHEMISTRY
BIOSCI. HORIZ.,BIOSCIENCE HORIZONS
BIOSCI. J.,BIOSCIENCE JOURNAL
BIOSCI. REP.,BIOSCIENCE REPORTS
BIOSENS. BIOELECTRON.,BIOSENSORS AND BIOELECTRONICS
BIOSENS. BIOELECTRON.: X,BIOSENSORS AND BIOELECTRONICS: X
BIOSENS.-BASEL,BIOSENSORS-BASEL
BIOSTAT. EPIDEMIOL.,BIOSTATISTICS & EPIDEMIOLOGY
BIOSURF. BIOTRIBOL.,BIOSURFACE AND BIOTRIBOLOGY
BIOSYST. ENG.,BIOSYSTEMS ENGINEERING
BIOTA NEOTROP.,BIOTA NEOTROPICA
BIOTECH. HISTOCHEM.,BIOTECHNIC AND HISTOCHEMISTRY
BIOTECHNOL. ADV.,BIOTECHNOLOGY ADVANCES
BIOTECHNOL. AGRON. SOC. ENVIRON.,"BIOTECHNOLOGIE, AGRONOMIE, SOCIETE ET ENVIRONNEMENT"
BIOTECHNOL. APPL. BIOCHEM.,BIOTECHNOLOGY AND APPLIED BIOCHEMISTRY
BIOTECHNOL. BIOENG.,BIOTECHNOLOGY AND BIOENGINEERING
BIOTECHNOL. BIOFUELS,BIOTECHNOLOGY FOR BIOFUELS
BIOTECHNOL. BIOPROCESS ENG.,BIOTECHNOLOGY AND BIOPROCESS ENGINEERING
BIOTECHNOL. BIOTECHNOL. EQUIP.,BIOTECHNOLOGY AND BIOTECHNOLOGICAL EQUIPMENT
BIOTECHNOL. DEV. MONIT.,BIOTECHNOLOGY AND DEVELOPMENT MONITOR
BIOTECHNOL. GENET. ENG. REV.,BIOTECHNOLOGY AND GENETIC ENGINEERING REVIEWS
BIOTECHNOL. J.,BIOTECHNOLOGY JOURNAL
BIOTECHNOL. LAW REP.,BIOTECHNOLOGY LAW REPORT
BIOTECHNOL. LETT,BIOTECHNOLOGY LETTERS
BIOTECHNOL. NOTES,BIOTECHNOLOGY NOTES
BIOTECHNOL. PROGR.,BIOTECHNOLOGY PROGRESS
"BIOTECHNOL. REP,",BIOTECHNOLOGY REPORTS
BIOTECHNOL. RES. INNOVATION,BIOTECHNOLOGY RESEARCH AND INNOVATION
BIOTECHNOL. RES. INT.,BIOTECHNOLOGY RESEARCH INTERNATIONAL
BIOTECHNOL. TECH.,BIOTECHNOLOGY TECHNIQUES
"BIOTECHNOL., AGRON., SOC. ENVIRON.","BIOTECHNOLOGIE, AGRONOMIE, SOCIETE ET ENVIRONNEMENT"
BIRD CONSERV. INT.,BIRD CONSERVATION INTERNATIONAL
BIRD STUDY,BIRD STUDY
BIRTH DEFECTS RES.,BIRTH DEFECTS RESEARCH
BIT NUMER. MATH.,BIT NUMERICAL MATHEMATICS
BLOCKCHAIN: RES. APPL.,BLOCKCHAIN: RESEARCH AND APPLICATIONS
BLOOD ADV.,BLOOD ADVANCES
BLOOD CANCER J.,BLOOD CANCER JOURNAL
BLOOD CELLS MOL. DIS.,"BLOOD CELLS, MOLECULES, AND DISEASES"
BLUE-GREEN SYST.,BLUE-GREEN SYSTEMS
BMC BIOCHEM.,BMC BIOCHEMISTRY
BMC BIOINF.,BMC BIOINFORMATICS
BMC BIOL.,BMC BIOLOGY
BMC BIOMED. ENG.,BMC BIOMEDICAL ENGINEERING
BMC BIOPHYS.,BMC BIOPHYSICS
BMC BIOTECH.,BMC BIOTECHNOLOGY
BMC CELL BIOL.,BMC CELL BIOLOGY
BMC CHEM.,BMC CHEMISTRY
BMC CHEM. BIOL,BMC CHEMICAL BIOLOGY
BMC CHEM. ENG.,BMC CHEMICAL ENGINEERING
BMC CLIN. PATHOL.,BMC CLINICAL PATHOLOGY
BMC CLIN. PHARMACOL.,BMC CLINICAL PHARMACOLOGY
BMC DEV. BIOL,BMC DEVELOPMENTAL BIOLOGY
BMC ECOL.,BMC ECOLOGY
BMC ENDOCR. DISORD.,BMC ENDOCRINE DISORDERS
BMC ENERGY,BMC ENERGY
BMC EVOL. BIOL.,BMC EVOLUTIONARY BIOLOGY
BMC GENET.,BMC GENETICS
BMC GENOMICS,BMC GENOMICS
BMC MATER.,BMC MATERIALS
BMC MECH. ENG.,BMC MECHANICAL ENGINEERING
BMC MED. GENET.,BMC MEDICAL GENETICS
BMC MED. GENOMICS,BMC MEDICAL GENOMICS
BMC MED. IMAGING,BMC MEDICAL IMAGING
BMC MED. INF. DECIS. MAKING,BMC MEDICAL INFORMATICS AND DECISION MAKING
BMC MED. PHYS.,BMC MEDICAL PHYSICS
BMC MED. RES. METHOD.,BMC MEDICAL RESEARCH METHODOLOGY
BMC MICROBIOL.,BMC MICROBIOLOGY
BMC MOL. BIOL.,BMC MOLECULAR BIOLOGY
BMC MOL. CELL BIOL.,BMC MOLECULAR AND CELL BIOLOGY
BMC NEUROSCI.,BMC NEUROSCIENCE
BMC NUTR.,BMC NUTRITION
BMC PHARMACOL.,BMC PHARMACOLOGY
BMC PHARMACOL. TOXICOL.,BMC PHARMACOLOGY AND TOXICOLOGY
BMC PHYSIOL.,BMC PHYSIOLOGY
BMC PLANT BIOL.,BMC PLANT BIOLOGY
BMC RES. NOTES,BMC RESEARCH NOTES
BMC STRUCT. BIOL.,BMC STRUCTURAL BIOLOGY
BMC SYST. BIOL.,BMC SYSTEMS BIOLOGY
BMC VET. RES.,BMC VETERINARY RESEARCH
BMC ZOOL.,BMC ZOOLOGY
BME FRONT.,BME FRONTIERS
BMJ MED.,BMJ MEDICINE
BMJ NUTR. PREV. HEALTH,"BMJ NUTRITION, PREVENTION & HEALTH"
BMJ OPEN SCI.,BMJ OPEN SCIENCE
BMJ OPEN SPORT EXERCISE MED.,BMJ OPEN SPORT & EXERCISE MEDICINE
BMR J. AUST. GEOL. GEOPHYS.,BMR JOURNAL OF GEOLOGY AND GEOPHYSICS
BODENKD. PFLANZENERNAHR.,BODENKUNDE UND PFLANZENERN脙陇HRUNG
BOL. GEOL. MIN.,BOLETIN GEOLOGICO Y MINERO
